text,Circulated as claim or as debunk or undecided,screen_name,user_id,tweet_id,retweet_count,created_at
Scandale !!!!!!!!!!!!!!!! Le Canard Enchaîné aurait censuré l’enquête sur le compte offshore d'Emmanuel Macron!… https://t.co/BXIkhPUGeW,claim,DROITISSIMO,168834499,854827740708712450,2,2017-04-19T22:43:09.000Z
@lenicois618 @FrancoisFillon Si il passe elle attendra macron est son compte offshore à Dubaï,claim,InfoPolitik1,845326402572472300,855500799727865856,0,2017-04-21T19:17:39.000Z
Scandale !!!!!!!!!!!!!!!! Le Canard Enchaîné aurait censuré l’enquête sur le compte offshore d'Emmanuel Macron!… https://t.co/jQlSfIU60w,claim,DROITISSIMO,168834499,854827350357397504,1,2017-04-19T22:41:36.000Z
@Gaoutte @Phiphi10001 @bel_doron @FrancoisFillon @EmmanuelMacron @MLP_officiel Que #Macron ±éclaté son compte offshore,claim,CrocdeGang,300834443,856248315075334144,0,2017-04-23T20:48:01.000Z
"LOL. Les gauchistes vont voter pour un gars qui a un compte offshore !
#Macron #RadioLondres",claim,shark_nice,839178876,856202760097861632,2,2017-04-23T17:47:00.000Z
je penche sur le compte Offshore de M. Macron !!!!!!!!!!! https://t.co/zZkoLuWJ4P,claim,sfmars1,493991380,858028911640412161,1,2017-04-28T18:43:28.000Z
"#Censure de l’enquête sur le compte offshore de #Macron
https://t.co/MjGyyfffsi",claim,krunch_fr,4009979181,854835564029366273,5,2017-04-19T23:14:15.000Z
Censure de l’enquête sur le compte offshore de Macron https://t.co/YNLgPiNmu0 @BFMTV @MLP_officiel @FrancoisFillon,claim,GBLEaKS,849643763337187300,855192312430964738,0,2017-04-20T22:51:50.000Z
Censure de l’enquête sur le compte offshore de Macron https://t.co/6dPTrin06l,claim,realSebColin,4923870593,854640829025198081,10,2017-04-19T10:20:26.000Z
Censure de l’enquête sur le compte offshore de Macron https://t.co/RIx6zHwiPo,claim,realSebColin,4923870593,854661049483702273,67,2017-04-19T11:40:47.000Z
"Censure de l’enquête sur le compte offshore de #Macron ?

https://t.co/MLJ4Ni89sB",claim,MietteColson,313876259,854957083220901888,1,2017-04-20T07:17:07.000Z
Censure de l’enquête sur le compte offshore de #Macron https://t.co/8j1vY1Gbbm,claim,Jeanfi6803,2283284354,855089090794070017,0,2017-04-20T16:01:40.000Z
"Compte offshore de #macron CENSURÉE! 
Qui manipule pour modifier le choix des électeurs? 
 https://t.co/AUsRtftjFU",claim,Ch_Dul,2479368381,855030123883581441,5,2017-04-20T12:07:21.000Z
